[25.926379739831834,39.889118751639785]
[36.5836307591535,21.451207232654113]
[36.13716316593188,37.86048118992915]
[39.77496952958051,11.360629707026689]
[12.69080315723382,23.99033931133787]
[15.575909479648498,43.845677650610675]
[40.86513132642741,10.356406818224709]
[33.073811103757905,11.02038742564595]
[43.001081547587965,28.188357498897428]
[33.45280842450316,16.90087475395799]
[17.54199431243214,39.82228982605758]
[30.01789669878659,32.61924426659322]
[28.468484167200877,34.616920986514366]
[19.664160611153683,43.1552654956656]
[26.858511422125584,17.182226000970466]
[28.755585642552738,40.95941856832654]
[42.72913659875322,29.39571527822008]
[34.0301281882278,34.52838119993379]
[20.18224349197298,41.78636772506579]
[18.553505910703606,38.02346664764969]
[28.473873706023358,28.628190310148316]
[19.94313697955803,24.17200562071329]
[20.797424169380072,35.948415568975214]
[44.35411485927242,22.144565717456892]
[32.98564204565639,38.84220326507425]
[64.48208461805476,65.85094512414354]
[56.18726181544112,55.739695775016386]
[64.15179796043982,61.021581491207094]
[67.98928299606743,68.14043080947602]
[66.07171969540532,60.52606967420264]
[66.94395639765341,64.2609671120351]
[66.18804020820663,64.40455986410406]
[56.0540903716693,69.47460020496462]
[60.82066830170404,60.27237691028947]
[60.84788807783723,63.11747703930252]
[62.970151786955114,67.315391699052]
[61.29641016727499,68.88214408935433]
[57.27806116943478,64.77408224244273]
[60.82445102491349,65.98776215082336]
[60.51482273145351,68.94461104348214]
[56.989548248871714,55.80479287320343]
[64.73778870461575,62.292352015658395]
[65.97317971320518,66.5561266638944]
[61.321789814334664,60.41327130304945]
[64.25651525098563,62.098323106325076]
[64.80064440077928,59.19681308195841]
[64.98635553035723,62.72808147438337]
[55.77778146663644,66.07308915532504]
[65.89147965474602,56.593748687336856]
[60.63453118680595,69.2964215253976]
